OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
8357,Designated Heritage Property,480 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,294.42879456,82.7906210313178
8358,Designated Heritage Property,421 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,279.99497984,77.1586080548294
8359,Designated Heritage Property,433 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1661.46434624,189.542255121085
8360,Designated Heritage Property,475 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,679.99527028,112.617867195104
8361,Designated Heritage Property,465 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,377.29063462,96.8993928389837
8362,Designated Heritage Property,470 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1126.65869728,186.093357547423
8363,Designated Heritage Property,479 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,508.1474921,103.783476645445
8364,Designated Heritage Property,476 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,348.56593582,86.0283121304536
8365,Designated Heritage Property,427 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,280.44990112,79.5909005047208
8366,Designated Heritage Property,484 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,180.37126466,56.5020688334181
8367,Designated Heritage Property,480 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,809.30367568,135.13004881301
8368,Designated Heritage Property,470 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1092.068998,142.642484850506
8369,Designated Heritage Property,474 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,280.12343424,79.5085419188699
8370,Designated Heritage Property,476 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,276.09482752,79.2451376170559
8371,Designated Heritage Property,486 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,470.67201384,91.9713017741415
8372,Designated Heritage Property,498 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,2188.05847882,202.969689758854
8373,Designated Heritage Property,29 Cartwright St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,931.8246236,138.509554628379
8374,Designated Heritage Property,420 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,2546.76931576,254.332522208372
8375,Designated Heritage Property,516 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,490.70423842,104.919360235658
8376,Designated Heritage Property,520 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,250.02898906,71.8783658205089
8377,Designated Heritage Property,"522 Colborne St, 413 Princess Ave", , , ,V,West Woodfield Heritage Conservation District,LSP3400254,235.55314736,70.7858089026918
8378,Designated Heritage Property,415 Princess Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,252.02368208,64.1533231325423
